GroomMB,BrideMB,GroomInc,BrideInc,Outcome
INFP,ESFP,71305.55,30020.1,Success
INFP,ESFP,61247.23,61878.51,Failure
ESFJ,ENTJ,36472.59,67018.39,Failure
ESFJ,ENFJ,68017.74,67143.55,Success
ENTJ,ENFJ,79805.06,49762.32,Success
INFP,ESTP,38053.38,69794.86,Failure
ENFJ,ENTP,81167.91,48468.76,Failure
ISFP,ENFP,84763.48,50285.7,Success
ISFJ,ESFJ,36985.57,37440.25,Failure
INTP,ENTP,72442.78,54959.66,Success
ESFP,ENTJ,73028.74,45171.24,Success
ISFP,ESTP,57792.96,36457.4,Success
INTJ,INFJ,39369.83,36763.54,Success
ISFP,INTP,99054.27,44576.66,Success
ESTP,ESFP,91496.17,80930.5,Failure
ISTP,ISFJ,55040.27,87663.95,Failure
ENTJ,ENTJ,60446.8,71426.5,Failure
ISTJ,INFJ,68888.14,63097.08,Success
INTP,INTP,47402.44,39593.12,Failure
INFJ,ISFJ,70672.23,42337.51,Failure
INTP,ESFP,91341.33,62115.91,Success
ISTP,ENFJ,59357.07,60369.99,Failure
ISFJ,ENFP,35554.37,56462.65,Failure
ESFP,ENFP,72839.46,96677.71,Failure
INTP,ESTP,66326.59,63439.89,Success
ISFJ,ESTP,64384.99,47156.17,Success
ESFJ,ISTJ,50363.27,37449.82,Failure
ENFP,ISFJ,80654.65,88176.73,Success
ISFJ,ESFJ,94915.39,87735.48,Success
INTP,ESTJ,39244.4,49925.68,Failure
ESFP,ISTJ,87341.19,51776.42,Failure
ISFJ,ENFP,61422.6,62099.25,Failure
ENTJ,ENTJ,67926.26,42450.44,Failure
INTJ,ESFP,92738.29,95994.91,Success
INFP,ISFJ,44969.62,42903.14,Failure
ENTP,INTJ,98280.73,76076.02,Failure
ESFP,INFJ,45533.72,37044.98,Failure
ISTP,ISTP,60327.62,40061.11,Failure
ESFP,ISFP,86219.72,94360.63,Success
ESFJ,INTP,85916.16,37331.36,Failure
ENTJ,INFJ,72619.08,81726.2,Success
INFP,ENFP,69267.02,81903.49,Failure
ESTJ,INTJ,96428.35,68902.18,Failure
INFJ,ENTJ,43981.42,52614.79,Failure
ESFJ,ISTP,95928.05,93248.71,Failure
ENTJ,INTP,62445.31,30812.54,Failure
INFP,ENTP,35033.84,51050.55,Failure
INTJ,ISFJ,45172.31,87244.52,Success
ENFP,ESFP,46507.12,58055.12,Success
INTJ,ESTJ,72506.19,64000.32,Success
INFJ,ESTP,67748.99,84889.26,Failure
INTP,ESFP,45952.88,96168.6,Failure
ISFP,INFP,57667.48,52572.43,Success
ISFP,ISTJ,65307.78,41128.06,Failure
ENFJ,INFJ,86202.56,37313.47,Failure
ISTJ,INTJ,94053.02,84021.62,Success
INTP,ISFP,65561.86,46128.4,Failure
ISTP,ISTP,46806.38,98280.12,Failure
ESFJ,INFP,56704.78,85225.2,Success
INTP,INFJ,95439.06,48589.1,Success
INTP,ESFP,50910.15,37416.88,Success
INTJ,INFJ,73496.25,99781.88,Failure
ISTJ,ENFJ,77468.68,94694.06,Success
ESTP,ESTJ,98426.02,49511.98,Success
ISFJ,ENFP,67390.15,35353.33,Success
INFJ,ESTP,47065.03,78786.36,Failure
ISFJ,ENFP,51059.59,57837.77,Failure
ISTJ,ESFP,69341.27,53267.11,Success
ESFP,INTP,31998.04,87670.54,Success
ESFJ,ISTP,85344.54,83276.54,Failure
ENTP,ESFJ,72993.08,68791.52,Failure
INFJ,ENFJ,38314.72,92524.44,Failure
ESTP,ESTJ,48997.48,56123.95,Failure
ESTP,INTJ,64544.4,30011.78,Success
ENFP,INTJ,87764.9,32003.55,Failure
ENTP,ESTP,60337.86,39554.74,Failure
INFP,INTP,69763.65,87982.18,Success
ISFP,INFP,36989.29,83335.06,Failure
INTP,INFP,91370.9,62798.79,Success
ISFJ,ENTJ,81410.73,52706.03,Success
INTP,INTJ,90107.55,35976.02,Success
INFP,ESTP,98382.1,47326.4,Success
ENTJ,ESFP,91254.85,31925.14,Failure
INTP,ISTJ,65634.9,33398.55,Failure
ISFJ,ENTP,74859.95,33542.78,Success
ESFP,ESFP,80963.91,92266.66,Failure
ESFJ,ENFP,84701.79,53149.41,Success
ENTJ,INFJ,47720.01,82960.13,Success
ENTJ,ISTP,42801,64230.45,Success
ESFJ,ENTP,42383.84,37722.36,Success
ESFP,INTP,42408.48,41544.47,Failure
INFP,ESFJ,49227.5,58751.55,Failure
ESFP,ENTJ,74084.79,50305.41,Success
INTP,ESTP,59158.49,50137.23,Success
ESTJ,ISFJ,75132.98,88995.95,Success
ENFP,INTP,30603.23,46088.67,Success
ENTP,ENTP,42857.91,70101.87,Failure
INTP,ISTJ,55922.39,59916.43,Success
ENFP,INFP,95436.78,43474.22,Failure
INFJ,ESFJ,42451.71,35160.73,Success
ISTP,ESFJ,62246.6,40401.5,Success
INTJ,ISTP,37706.58,76784,Success
INTP,ESFP,33923.09,90300.38,Failure
ENTP,ISFP,97897.88,66449.91,Failure
ENFJ,INFJ,42360.54,70149.35,Success
ISFP,ISFP,83279.14,31222.87,Failure
ISTJ,ESFJ,51746.55,58618.22,Failure
INFP,ENTJ,70842.56,46302.49,Success
ESFP,ISTJ,77092.83,90044.75,Success
INTP,ISFP,90859.91,97360.55,Success
ESFP,ENFJ,79692.04,84805.11,Failure
ESFJ,ISTJ,69809.07,48735.49,Failure
INTJ,ESTP,82080.32,79106.9,Success
ENTJ,ESFJ,52322.85,68148.97,Success
ENTJ,ISFJ,72947.16,77530.64,Success
INTP,ESTP,91180.24,61975.83,Success
ESTJ,ENFP,82994.18,51677.68,Success
INTP,ENFJ,87157.66,84179.01,Success
ENTJ,ENTP,39066.81,40071.38,Success
INFP,ISFJ,89374.56,84855.56,Failure
ISFP,ESTP,79744.99,49985.44,Success
ESTP,INFP,50584.61,96671.68,Success
ISFJ,ISFP,81243.37,50815.59,Failure
INFP,ISFP,78112.13,82690.17,Success
ESTJ,ISTP,30066.81,70544.19,Success
ESTP,ENFP,57916.63,65715.39,Failure
ESTJ,INTP,63539.12,34899.37,Failure
ISFJ,ESFJ,32516.08,99548.93,Failure
ISTP,INFJ,53911.75,69904.15,Failure
ENFP,INTP,50146.21,68506.27,Success
ISFJ,INTJ,95062.09,60365.51,Success
ISTP,ISFJ,55589.02,79456.6,Failure
ESFJ,ISFJ,31124.39,92928.78,Success
ISFP,ESFP,71268.84,32237.6,Success
INTJ,ISFJ,62408.46,86452.7,Success
ENTJ,ESFP,42577.99,45928.24,Success
ENTP,ISFP,90332.51,90451.45,Success
ESTJ,ISFJ,47428.07,30761.96,Failure
INFJ,ISTJ,51580.22,56004.61,Success
INFJ,ENFP,72027.95,76849.95,Failure
INTP,ESTJ,34456.23,63665.14,Failure
ENFP,ISTP,70752.24,81812.28,Success
ENFP,ENTP,57203.39,76661.73,Success
ISFP,INFJ,61094.86,49008.29,Success
INFP,ISFJ,65433.5,67306.83,Success
ENTP,ESFJ,35984.44,96883.55,Success
ENTP,ISFJ,43407.12,66079.75,Success
ESFP,INFJ,44113.23,57698.42,Success
ISTJ,INTJ,78521.07,59642.44,Success
ISFP,ESTJ,92118.56,57012.78,Success
INTJ,ISTJ,70794.61,34075.32,Failure
INTP,INTP,60580.99,97223.5,Failure
ISTJ,ENTJ,65805.15,39102.62,Failure
ISTJ,INTP,69384.73,44515.28,Success
ISTJ,ENTP,59714.55,31818.05,Success
ESTP,INTP,43472.74,94913.31,Success
ISFP,ENFP,80134.33,81433.11,Failure
INTJ,ENTJ,75976.71,42732.31,Success
ENTJ,INTP,60907.02,55834.59,Failure
ISFJ,INTJ,47300.25,74419.85,Failure
ESFJ,ENTJ,81114.45,59330.31,Success
ENTJ,INFJ,69735.61,40144.32,Failure
ESFJ,INFJ,30695.63,65251.53,Success
ISTP,ENTP,45893,36142.29,Success
ENFJ,ESTP,40351.8,57243.46,Success
ENTP,INFP,46312.02,91974.42,Failure
ENTJ,INTJ,39802.32,45583.64,Success
ISTP,INTP,61801.36,91952.08,Success
ENTP,ISFP,52421.5,85498.79,Success
ENTJ,ISFJ,70395.49,66831.49,Failure
ESFJ,ESTP,43204.74,46466.49,Success
ESFJ,ISTJ,66240.53,98713.25,Success
ISFJ,ESFJ,76706.16,78043.84,Failure
ENTP,ENFP,45789.11,68253.75,Failure
ENTJ,ESFP,52508.79,76161.3,Success
ISTJ,ENFP,73262.91,56383.43,Success
ENFP,INTJ,94422.79,49646.6,Failure
ENTJ,ESTP,42296.59,96581.47,Success
ISFP,ISTJ,77587.87,40773.86,Success
ESTJ,INTP,53647.64,30706.23,Failure
ESFP,ISFP,62551.16,55173.85,Failure
INTJ,INFP,86199.96,44442.33,Success
ENFJ,ESTP,63390.29,43782.76,Failure
ISTJ,ESTJ,72202.42,52558.15,Success
INTJ,INTJ,56125.78,37140.31,Failure
INTJ,ISTP,64095.55,32062.23,Failure
INTJ,INFJ,34232.82,93550.83,Failure
ISTJ,ENFP,83447.57,64855.19,Success
ISTJ,INFJ,88033.07,78457.67,Success
INTJ,ENFP,33069.79,65385.14,Failure
ISFJ,INTP,76572.4,86112.42,Failure
INFP,ENTJ,84548.68,98783,Failure
ESFP,ESTP,45926.14,77567.14,Success
ESFJ,ESFJ,44518.2,33183.3,Failure
ESFJ,ESTJ,76776.52,39307.62,Failure
ENTJ,ESFJ,50477.88,33892.38,Failure
INTJ,ENTJ,47797.13,86741.82,Failure
ISFJ,INFP,51393.27,67956.66,Success
ISTP,ISFP,59356.54,34384.97,Success
ENFJ,ISFP,36159.7,69342.12,Success
ENTJ,ENFP,71149.18,75212.48,Failure
ESTJ,ISTP,39252.95,63177.64,Success
INFJ,ESTJ,84726.19,34586.91,Success
ENFJ,ENTJ,52225.37,43561.58,Failure
ENFP,INFP,70381.84,79137.5,Success
ENTP,INTP,61990.33,38771.72,Failure
INTP,ESFP,40977.18,39987.88,Success
ESFP,INFJ,81893.41,84889.79,Success
ENFP,ENFJ,37383.07,50870.51,Failure
ENFP,ISFP,86857.14,57632.97,Failure
ENFP,ENFJ,37643.05,33183.65,Success
ISFP,ESFJ,71639.92,65932.27,Success
ENTJ,ESTJ,85799.3,39039.02,Failure
ISFP,ESTP,98905.27,30402.76,Success
ENFP,ISTJ,92999.95,95588.52,Success
INTP,INTJ,77650.12,93062.14,Failure
ISFP,ESFJ,65983.14,73503.16,Failure
ESTJ,ENFP,91792.08,46397.61,Success
ENFP,ESFJ,45841.57,65095.88,Success
ENTP,ENTP,96856.58,68157.91,Failure
ESTP,ESTP,61643.59,81064.43,Failure
ISTJ,ISTP,42011.48,30641.46,Failure
ISFJ,ISTP,37836.63,36817.21,Failure
INFP,ENTJ,81837.92,54995.83,Success
ESTJ,INFP,84442.67,36392.93,Failure
ENFP,ENTP,58714.14,52377.5,Success
ISFP,INFJ,55316.21,35079.89,Success
ISTJ,INTJ,65015.64,82751.93,Failure
INFJ,ESTJ,74492.62,79025.79,Failure
ESTP,ENFJ,57305.93,39647.23,Success
INFP,ISFP,57158.01,55880.69,Failure
ISTP,ENFP,71487.23,85335.02,Failure
INFP,ENFP,57461.83,55614.15,Success
INFP,INFP,69497.55,44743.62,Failure
ISTP,ENTJ,61233.96,64220.52,Failure
ISTP,INTJ,65600.96,76430.79,Success
ENFJ,ENFP,95363.54,91512.7,Failure
INFP,INFP,86163,52259.33,Failure
ENTJ,ESTP,52264.8,77251.07,Success
ESTJ,ISTP,80167.48,48469.76,Failure
ENTJ,INTP,64084.15,31907.01,Failure
ENTP,ISTP,74796.07,59114.73,Failure
ISFJ,ENTP,55212,61407.18,Failure
ESTJ,INFJ,73176.84,35801.93,Failure
ENFP,ENFJ,64365.69,49840.82,Success
ENFJ,ENTJ,43584.88,61544.79,Success
ENFJ,ENTP,75795.85,97107.19,Success
ESTP,INTP,38318.47,42473.34,Success
INFP,ENTJ,93965.63,42352.51,Success
ESFJ,INTJ,91974.59,63383.72,Failure
INTJ,ENTJ,88443.94,85846.77,Success
ESFJ,ENTP,87504.27,90323.86,Failure
INTP,ENFJ,41517.22,61890.3,Failure
INFJ,INFJ,74858,98104.26,Failure
ENTP,ISFJ,71636.77,38172.67,Failure
ISFP,ISTP,63009.22,46053.73,Failure
ENFP,INTJ,61703.27,35497.73,Failure
ESFP,ENTJ,91513.45,33053.71,Success
ENFP,ISTP,86990.6,62840.89,Failure
ESFJ,INFJ,56022.39,39016,Failure
INTP,INTJ,99056.03,65270.08,Success
INFP,INFP,81450.37,92206.35,Failure
INTJ,ENFJ,69743.11,81199.59,Failure
ENFP,INTJ,94323.32,48756.68,Failure
INFJ,INTJ,78515.19,91482.28,Success
INFJ,ESTJ,77744.78,60604.03,Success
ENFP,INTP,81399.96,49136.82,Failure
INTJ,ISFP,30960.15,91340.7,Success
ENFP,INTP,72135,55821.82,Failure
INTJ,INFP,94558.46,56943.91,Success
ESTJ,ENTJ,65710.3,84455.39,Failure
ESTP,INTP,54710.98,78217.92,Success
ESTP,ENTP,41990.52,97467.94,Success
ISTP,ENTP,52371.86,79120.72,Failure
INTJ,ENTJ,91883.68,38394.6,Success
INFJ,ENTJ,80204.83,32261.19,Success
ENFJ,ISTP,62272.47,40170.15,Success
ENTJ,INTJ,87547.03,78252.65,Success
ESTJ,ENFJ,91990.96,82556.07,Success
INTP,ISTP,80046.91,30384.99,Failure
ESFJ,INTJ,48634.15,88900.94,Success
INFP,ESTJ,89544.85,55082.68,Success
ENTP,INTP,86430.45,87297.96,Success
ESTP,INFJ,73003.71,75983.37,Success
ENFP,INTP,68542.16,92918.14,Success
ESTP,ESFJ,82631.09,88105.01,Failure
ISTJ,INFP,63251.93,93551.85,Failure
ENTJ,ESFP,98354.82,80097.1,Success
ISFP,ENTJ,80737.67,51305.14,Success
ISFJ,ESFJ,71395.65,93868.98,Failure
ENTP,ISTJ,54416.75,89226.23,Success
INTP,INFJ,71962.64,74860.01,Failure
ESTP,ISTJ,94074.93,37184.74,Failure
ESFJ,INTP,94997.7,69063.95,Failure
INTP,ENFJ,79402.32,71869.41,Success
INFJ,INTJ,71813.43,94252.42,Success
ESFJ,INTJ,81050.5,94386.25,Success
ENFP,ISTP,73163.56,49184.27,Failure
ISFJ,ENTP,37254.37,68953.77,Failure
ESFJ,ISTP,34005.15,91043.5,Success
ISTP,ESFP,90756.42,40580.08,Success
ISFP,INTJ,33357.01,91358.58,Failure
ISTP,ISTJ,79698.83,63702.57,Success
ENFJ,ISFP,52669.8,41816.36,Failure
ISFP,ISFP,73423.81,80985.56,Success
ENTJ,INTJ,91621.15,82676.5,Failure
ENTP,ESTP,68560.35,56837.33,Failure
INTP,ESFP,69036.82,76783.11,Failure
ENTP,ENTP,99999.34,71133.26,Failure
ENFJ,ENFJ,80983.32,48206.29,Failure
ISTP,ESFJ,58153.38,81680.83,Failure
INFJ,ESFJ,99923.97,55749.89,Success
ENFJ,INTP,40799.57,98737.51,Success
ESTJ,ENFJ,87669.7,42243.91,Success
ENFJ,ESFP,52889.19,99567.62,Success
ESTP,ESFP,69503.73,36253.57,Success
ESTP,ENFJ,99898.93,38891.2,Success
ESFP,ENTJ,81643.5,41245.45,Success
ISFJ,ISTP,77155.55,90021.83,Success
INFJ,ESTP,56805.16,80836.55,Failure
ENFJ,ISTJ,87567.47,43547.24,Failure
ISTJ,ESTP,40448.02,65651.52,Failure
ISFP,ISTJ,88200.67,39488.87,Failure
ISFJ,ISTP,87077.8,74639.73,Failure
ESTP,INTP,42460.16,38340.86,Failure
ENFP,ESFP,64719.63,57467.7,Failure
INFP,ESTJ,85995.86,71092.21,Success
ENFP,ISTJ,86248.89,59304.45,Failure
ESFJ,ISTJ,66865.14,50923.21,Failure
ENFJ,INFJ,32673.72,78913.44,Success
ESTP,ISTJ,39068.3,97350.45,Success
ISTJ,ISFJ,89884.41,63541.78,Success
ESFJ,ESTP,42774.92,73034.06,Success
ENTJ,ISTP,95242.74,61951.45,Failure
ESTJ,INTP,69029.81,85671.52,Success
ENFP,ESFJ,61851.22,74732.44,Success
INTP,ISFP,98898.36,56515.72,Failure
INTP,ENFP,74052.94,86242.61,Failure
ESTJ,ISFP,94074.46,62169.54,Failure
INFJ,ENTP,51863.02,99289.85,Failure
ESFP,ENFJ,57024.21,97604.19,Failure
INTP,ENFJ,33197.17,35671.67,Failure
ENFJ,INTP,76053.15,80283.07,Success
ISFJ,INTJ,61520.07,44032.4,Success
ENFJ,ISTP,77226.61,42144.71,Failure
ESFP,INFJ,54742.29,60363.37,Success
INTP,ISTJ,32358.07,87222.95,Success
ESTJ,ESTJ,81547.49,48419.83,Success
ENFP,ESTP,59681.59,95668.51,Success
ENFP,ENTJ,59051.03,74407.76,Success
ENTP,ESTJ,98787.01,91630.4,Failure
ESFP,ESFP,68852.58,78917.04,Failure
INTJ,ENTJ,44716.7,48991.75,Failure
INTP,ISFJ,94299.11,76039.12,Failure
INTP,ISFP,78502.68,55172.05,Failure
INFJ,INTJ,31612.64,85093.61,Success
ISFP,ENFJ,93371.4,34682.72,Success
ISFP,ISTJ,53917.47,57264.43,Success
ESFP,ISFP,87089.06,45985.42,Failure
ENTP,ESFP,78490.89,50782.8,Failure
ISFJ,INTP,40814.85,75262.03,Failure
ENFJ,INTP,47165.82,45836.21,Failure
ISFP,ESFP,34289.02,67866.02,Failure
INFP,INFJ,65399.4,86818.16,Failure
INFJ,ESTP,90793.51,76442.81,Failure
ESFP,ENTP,51470.43,95922.76,Failure
ENTJ,ISTP,68946.7,47009.57,Failure
ENFJ,INFJ,85216.79,48088.82,Failure
ISFJ,ESFP,71206.38,60898.84,Success
ENFP,INTP,54901.69,80210.14,Success
ENFJ,INTJ,51933.96,52595.83,Success
ISFJ,INTJ,60020.19,70932.34,Failure
ESFP,ENFP,79364.59,48432.37,Success
ESTJ,INTJ,84996.28,85792.8,Success
ISTP,ISFJ,49183.43,48465.49,Success
ISTP,ENTJ,67875.94,72949.22,Failure
INFP,INFJ,47274.32,38282.36,Success
ESFJ,ISTP,67260.26,39986.21,Failure
ISTJ,ENTP,58325.19,49098.38,Success
ENTP,INFJ,63175.14,69276.38,Success
ENFP,ESFJ,89141.19,47325.69,Failure
ESTP,ESFP,83161.73,31919.92,Success
ENFJ,ISTP,56030.35,53301.31,Failure
ENFP,INFP,46548.36,65236.6,Success
ISFP,INFP,42015.84,30731.18,Success
INFP,ISFP,39377.95,69698.63,Success
ISTJ,ISFJ,77497.45,31686.78,Success
INFJ,ESFJ,78866.89,58701.02,Success
ISTP,ESTP,58516.65,93735.83,Failure
ENTJ,INFP,49653.81,90073.02,Failure
ESTP,ESFP,96344.99,72877.56,Success
ISFJ,ESFJ,57775.22,64422.08,Failure
ENTJ,INFJ,88931.68,74041.46,Success
ENFJ,ENTP,50336.9,65738.94,Failure
ENFP,ESTJ,47556.18,90399.95,Success
INFJ,ESTJ,76292.94,75300.76,Success
ESTP,INFJ,67139.4,64535.38,Failure
ENFP,ENFJ,68622.74,76463.18,Failure
ENTJ,ESFJ,77737.77,87115.97,Success
ESTJ,ISTP,39089.78,89628.02,Success
ESTP,ESTP,51573.79,37827.46,Failure
ENTJ,INTJ,57907.76,44633.26,Success
ISFJ,ESFP,75207.68,50747.53,Success
ENFP,ISTJ,80858.29,96079.98,Success
ESTJ,ISFJ,41415.07,94417.24,Success
ENFP,ISFJ,92939.06,36975.86,Failure
ESTJ,INTJ,38613.86,40244.4,Success
ENTJ,ESFJ,95840.89,40457.05,Failure
ISFP,ESTP,67257.16,80552.89,Failure
ENFP,ENTJ,93555.38,71152.55,Failure
ISTJ,INFP,81660.84,50726.64,Success
INFJ,ESTJ,52065.89,81327.24,Failure
ENTJ,INTP,78496.33,93755.07,Success
ISTP,INTJ,97763.36,53795.42,Success
ESTJ,ENTJ,90030.64,30041.42,Success
INFP,INFJ,91014.54,35484.55,Success
ESFJ,INTJ,42642.4,69789.95,Success
ISFP,ISTP,83304.41,98239.96,Success
ESTJ,INFJ,87362.13,32156.63,Failure
ENTP,ISFJ,41116.68,76500.94,Success
ESTP,ENTJ,60710.12,63774.2,Failure
INFP,INTP,39789.95,53327.37,Success
ENFP,ISFP,30109.67,73711.34,Success
INFP,INTP,44591.41,92429.5,Success
ENFJ,ENFP,73093.42,62718.58,Failure
INTP,ISTP,90336.13,45052.86,Failure
INTJ,ENTJ,90641.16,58217.75,Success
ISTJ,ESFP,40179.63,36757.32,Success
ISFP,ISFJ,39218.75,91724.37,Failure
ENTP,ENFP,85983.87,77353.62,Success
ENFJ,INTJ,32284.74,92943.3,Failure
INFJ,ENFJ,37750.17,64981.58,Failure
INTP,ISFP,79066.83,62394.6,Failure
ENTJ,INTP,43189.3,33211.95,Failure
ESTJ,INFP,61108.63,87028.67,Success
INFJ,ENTJ,45757.43,63890.32,Failure
ENFJ,INTJ,47268.39,40984.57,Failure
ISFJ,INTJ,58921.76,66540.61,Failure
INTP,ESTP,96842.27,91412.19,Success
ISTJ,INFJ,83634.18,82100.9,Failure
ISFJ,ENTJ,67976.51,37338.28,Success
ENTJ,ESTJ,42456.2,40581.23,Failure
ISTJ,ISTJ,77565.81,50927.5,Failure
INTP,ESFP,57564.04,80296.48,Failure
ESTP,ESFJ,43625.32,78184,Failure
ESFP,INTP,81991.96,86974.18,Success
ISFJ,ISTP,92220.57,73647.34,Failure
ESFJ,ENTJ,67707.96,85156.72,Failure
ENTJ,INFP,30537.07,84171.63,Success
ISTJ,ISFP,36125.83,69900.21,Failure
INTJ,INTJ,51229.16,80279.83,Failure
ESTJ,ISTJ,67421.14,72154.46,Success
ISTP,INFJ,72721.5,82341.65,Failure
ENTJ,ENFJ,49505.04,91171.21,Failure
ISFJ,INTP,37450.59,92473.47,Failure
INFJ,ENFJ,72973.03,89946.73,Failure
ESTJ,ISTJ,36476.48,97052.78,Success
ISFP,ISFJ,91744.55,87429.64,Success
ISFJ,ENFP,69356.08,59836.26,Success
ISTP,ENTJ,64318.52,76348.52,Failure
ESFP,ENTP,88093.42,41087.9,Success
ENTJ,ISFJ,78882.96,86593.4,Success
ISFP,INFP,46042.89,98205.45,Failure
INTJ,ISFP,59790.41,38780.75,Failure
INTP,INFJ,81961.89,74409.46,Failure
ENTJ,ESFP,30378.01,66870.13,Success
ISTP,ESTJ,39121.23,51948.13,Failure
ESFJ,ISFJ,59405.93,70050.77,Success
ISFJ,INTJ,36533.88,40881.9,Failure
ISTJ,ESTJ,38021.65,48672.36,Failure
ESTJ,ISFP,75229.89,79856.47,Success
ENFP,INFP,82896.22,59633.76,Failure
ESTJ,ENFP,38314.39,64217.44,Failure
ISTP,ISTJ,99577.56,47264.1,Success
INFJ,ENTP,64871.61,76254.87,Failure
ESTP,ENFP,47207.58,44427.01,Success
ESFP,ESTJ,35877.23,86463.58,Failure
INFP,ISFJ,69378.85,48172.48,Failure
ESFP,ISFP,69452.91,75280.98,Success
ESFJ,ESFJ,84360.3,55557.85,Failure
INTJ,ENTP,42251.2,71158.25,Failure
ENFJ,ESTP,76369.6,84504.12,Success
ESFJ,ENFJ,67653.54,61242.83,Success
ISFJ,ISTJ,54029.92,92237.89,Success
ISTP,ENTJ,99871.27,54700.64,Success
ISFP,ISTJ,38204.42,65565.86,Success
ISTP,ESFJ,84572.16,31471.27,Success
ISTP,ISFJ,75224.01,39430.12,Success
ENTJ,ENTJ,54919.64,69234.96,Failure
ENTJ,INTJ,51206.48,96838.72,Success
ISFP,ENTP,47803.32,53854.06,Failure
ESTJ,ENTJ,33761.65,58823.24,Failure
ESFJ,ENTJ,60917.08,35112.28,Success
INFJ,INTP,63572.92,38608.25,Failure
ESFP,INTJ,78011.93,58574.67,Failure
ISTP,ENFP,53955.98,92708.14,Failure
ESTP,ISTJ,61625.97,63233.44,Success
ISTJ,ESFJ,81781.88,54008.1,Success
ISTJ,INTP,32466.89,59255.79,Failure
ENTJ,ISFJ,69829.09,41968.2,Failure
ENFJ,ENFP,50197.86,33501.04,Failure
ENTP,ISFP,98193.05,44836.21,Failure
ISFJ,INFJ,83907.15,95735.22,Failure
ENFJ,ISTP,38988.82,67296.62,Success
ISTJ,ENFP,70981.85,70214.96,Success
ESFJ,ESFJ,84847.01,43364.46,Failure
INTJ,INFJ,84335.88,92846.71,Failure
INFJ,ESFP,42164.25,56613.63,Failure
INTP,ENTJ,71192.05,62988.47,Success
ENTJ,ESFJ,53535.21,98177.7,Success
ENTP,ENTJ,50221.03,96712.99,Failure
ISTP,ISFJ,95972.68,46870.82,Success
ISTJ,ESTJ,37733.83,89380.09,Failure
ISFP,INFP,42938.91,33384.18,Success
ISFP,INTP,34996.47,38926.21,Success
ESTP,ENTP,95196.17,82886.78,Success
ISFP,INTJ,42934.49,99344.94,Failure
INTP,ENTP,33934.24,87445.69,Failure
ISTP,INTP,57131.35,73128.52,Failure
ENTP,ENTJ,89296.11,93040.61,Failure
ENFP,ISFP,72470.71,85068.34,Success
ENFP,ISTP,35130.16,59576.07,Success
ENFJ,ISFJ,40373.02,37243.42,Success
ESTJ,INTJ,37677.69,84185.97,Success
ISTP,ESFP,30843.75,64979.4,Failure
INTJ,INFP,89194.94,69084.77,Success
ESTJ,ENFJ,79378.72,62374.57,Failure
ENFP,ENFJ,82442.49,81595.09,Success
ENFJ,INFP,49375.25,59110.63,Success
ESTP,ENTJ,81621.15,41660.43,Success
ESFP,ENTP,65700.21,32148.57,Success
INTP,ISTP,34989.16,48610.29,Success
ESFJ,INFJ,61841.16,31633.02,Success
ISTJ,ENFJ,68943.12,92802.72,Failure
ISTJ,ISFP,81746.82,86501.85,Failure
ESFP,ENTP,67300.82,95616.01,Failure
ISTJ,INFP,70845.04,50872.06,Success
ISFP,ISTP,70414.42,97445.56,Success
ESFJ,ENFJ,93952.68,80512.83,Success
INTJ,ISTJ,89741.92,42957.86,Failure
INTJ,ESFP,75412.16,59473.93,Failure
ISTJ,INTP,42899.12,42740.39,Success
ESFP,ISFJ,96862,99253.48,Success
ISTJ,ENTJ,34557.84,77928.22,Failure
INFJ,ENFJ,74601.82,43535.35,Success
ENTP,ESFJ,32712.77,98023.33,Success
ENTJ,ESTJ,41866.14,77215.69,Success
ISTJ,ESTJ,34457.03,94044.84,Failure
ISTJ,ISFP,78238.12,55901.98,Success
ESFJ,ISFP,46813.17,47156.52,Success
ESTJ,ISTP,39687.25,53681.41,Success
ESTP,ENTJ,36152.52,37223.68,Failure
ENTP,INTJ,68302.24,43913.55,Failure
ENFJ,ENTJ,42092.32,55876.53,Success
ESFJ,ENTP,77956.48,67007.36,Success
ENFP,ENFP,30766.11,65854.96,Failure
ENFP,ENTJ,66886.29,92859.6,Success
ESFJ,ISFJ,74578.17,89822.26,Failure
ENFJ,INTJ,41614.25,72180.19,Success
INTJ,ESTP,84231.33,43816.79,Success
INFP,ENTJ,51261.78,95931.08,Failure
ISTJ,INFJ,74207.87,76809.58,Failure
ENFP,ENTP,84120.2,44865.39,Failure
INFJ,ISFP,53112.32,45165.71,Failure
ENTP,ENFP,60080.34,83273.69,Failure
INTJ,ISTJ,50728.77,89492.92,Failure
INTP,ENFJ,31137.31,67287.3,Failure
INTJ,ISFJ,70213.28,46689.2,Failure
ISFP,ENFP,84207.02,32566.22,Failure
ISTP,ISTJ,81153.72,55613.94,Success
ESTP,ESFP,83599.07,93402.95,Failure
ESTP,INTP,82681.86,39758.51,Failure
ESFP,ESTP,72363.93,60321.43,Failure
INFP,ENFP,93343.53,60743.76,Success
ISTJ,ESFP,69758.96,78507.92,Failure
ENFP,ENTP,49312.9,57294.95,Success
ISFJ,ESTJ,51703.97,69827.53,Failure
ENFP,ISFJ,77890.42,34045.74,Failure
INFP,ISTJ,45740.09,69108.61,Success
ENTJ,ENFP,51740.66,94882.21,Failure
ESTP,ESFJ,96067.88,52826.72,Success
ISTJ,ENTP,69888.46,40354.33,Success
INTJ,ENFJ,52612.92,79564.97,Failure
